tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Convergent margin,Andesite,55.49,1.21,17.46,8.04,3.74,0.18,0.69,4.03,0.16,36.2,242,18,29,14,18.6,197,35.8,93,8.46,19.56,13.4,4.24,1.46,3.58,0.57,2.79,2.6
Cont flood Basalt,Rhyolite,72.2,0.45,12.15,0.69,0.26,0.12,3.81,4.32,0.03,6.1,NA,18,1.2,2,111,99,99,640,88,179,83,18,5.3,6.8,1.2,16,14
Archean craton,Basalt,51.9,1.17,13.2,7.9,6.8,0.23,1,3,0.11,41,341,18,55,44,34,221,36,116,6.8,18.4,13.8,4.35,1.25,3.82,0.58,3.27,0.635
Convergent margin,Andesite,55.53,0.71,18.2,10.23,3.24,0.18,0.26,2.07,0.08,31.4,296.5,18.1,27.9,19.3,NA,184.6,22.8,29,2.61,7.61,7.35,2.73,1.1,3.18,0.45,1.29,0.19
Convergent margin,Dacite,65.37,0.43,17.68,5.33,1.68,0.06,1.11,4.61,0.32,10.4,60,19,NA,6,17.9,481,8.6,94,6.7,14.3,7.7,1.8,0.6,0.7,0.1,1.9,1
Cont flood Basalt,Andesite,52.1,2.9,13.1,7.9,4,0.29,1,3,0.54,29,278,19,28,18,28,325,55,260,24.7,68.3,37.9,10.4,2.93,4.28,0.66,6.3,2.29
Rift,Rhyolite,72.62,0.26,13.09,2.04,0.85,0.08,0.89,5.07,0.05,15.53,4,19,NA,5,29,145,81,362,47,104.8,49.5,12.01,1.89,4.77,0.63,2.93,39
Archean craton,Rhyolite,70.58,0.26,14.62,3.01,0.77,0.03,0.76,5.25,0.07,3,34,19,5,7,37,202,6,122,17.19,30.72,10.74,1.78,0.42,0.27,0.05,3.13,5.8
Intraplate,Dacite,60.72,0.5,15.86,3.14,2.07,0.08,4.47,0.54,0.23,8,77,19,8,10,100,325,17,161,41.22,83.66,33,6.02,1.58,1.3,0.2,1.5,15
Intraplate,Dacite,62.07,0.58,15.8,4.79,2.69,0.15,2.47,3.94,0.18,12,113,19,12,9,88.35,417,19,138,32.31,56.45,21.22,3.91,1.09,1.73,0.3,4.2,19.82
Intraplate,Dacite,68.22,0.43,14.56,2.26,1.07,0.09,3.62,3.48,0.15,8.9,40,19,5.1,8.7,113.8,285,26.6,183,28.11,56.54,27.09,5.39,0.78,2.57,0.41,5.64,10.75
Archean craton,Rhyolite,72.3,0.45,15.6,1.6,0.23,0.01,2.3,4.33,0.12,4,43,19,2,8,72,195,7,139,41.11,64.15,18.97,3.13,0.95,0.43,0.04,3.03,9.17
Archean craton,Basalt,52.8,1.18,13.4,8.3,6,0.24,0.2,2.9,0.14,49,352,19,58,46,2.9,145,39,128,7.5,20.1,14.9,4.67,1.33,4.29,0.65,3.61,0.687
Convergent margin,Andesite,54.8,0.61,18.9,9.7,3,0.16,0.28,2.65,0.05,36,264,19,25,9,5.3,250,13,27,1.3,3.6,3.42,1.25,0.54,1.36,0.21,0.78,0.1
Intraplate,Rhyolite,71.05,0.3,14.52,2.66,1.13,0.04,4.81,2.86,0.08,6.5,41.6,19.3,5,11.2,266,246,14.2,151,44.3,93.6,41.9,5.84,0.93,2.44,0.34,4.65,30.5
Archean craton,Andesite,63.13,0.67,12.75,5.44,3.72,0.16,0.29,4.56,0.2,18.8,161,19.5,30,40.6,0.98,112,12.2,113,8.91,22.9,13.5,3,0.781,1.18,0.171,2.83,4.62
Convergent margin,Dacite,62.20639705,0.927799325,14.87590632,1.129575937,3.554808253,0.165444787,0.0701,5.810321312,0.447643877,19.43155936,36.00772132,19.64660105,10.61605291,8.36551215,1.206828976,52.48989942,42.21371763,120.9544943,3.334841587,11.19446878,11.91025038,4.546688404,1.78896924,4.114413411,0.652150108,3.151564442,0.337835435
Convergent margin,Andesite,51.53,0.99,16.95,6.45,3.88,0.16,3.93,3.84,0.42,24.3,245,20,25,14,172.3,751,25.9,171,27.7,59.7,32.2,6.47,1.49,2.75,0.4,4.92,15.18
Archean craton,Andesite,58.1,1,17.9,5.6,1.1,0.2,2,4.9,0.4,13,120,20,10,13,36,457,15,204,34.6,73.5,34.1,5.2,1.6,1.3,0.18,4.8,3.5
Intraplate,Dacite,65.91,0.56,13.97,1.93,2.5,0.09,3.27,3.68,0.18,6.3,74.8,20.4,14.3,30.1,65.6,419,16.7,262,28.1,54.8,23.1,4.32,1.21,1.75,0.27,5.84,19.3
Intraplate,Rhyolite,68.03,0.85,13.88,0.99,0.92,0.06,4.95,1.18,0.16,11.79,29.8,20.45,6.39,6.55,203.9,99.26,57.22,427.2,97.47,186,86.03,14.92,2.9,5.86,0.89,12.49,13.45
Intraplate,Dacite,65.08,0.54,16.02,5.45,2.38,0.06,1.96,3.32,0.22,15.2,95,20.5,9.2,16.9,88.6,849.8,20.6,143.3,42.74,85.23,35.96,6.14,1.36,1.74,0.27,2.65,18.16
Convergent margin,Dacite,71.94166442,0.566041797,13.36216439,0.4008064,2.260296225,0.0461,0.305191052,5.644128768,0.145792451,14.73761906,46.80118089,20.83788396,5.246177474,1.354539249,5.086385666,127.5484949,22.91408874,108.2714096,3.497945392,10.09151536,8.170846416,2.774443686,0.696372014,2.495494881,0.389337884,2.735501706,0.344221843
Archean craton,Basalt,51.76,1.55,14.38,5.97,4.8,0.25,1.28,1.28,0.16,20.34,232,21,73,57,38.35,374,13.22,117.35,19.36,44.2,24.08,4.82,1.49,1.35,0.23,3.08,1.8
Archean craton,Basalt,50,1.3,14.6,7.7,6.8,0.2,0.1,2.7,0.12,43,318,21,64,44,2,196,41,129,8.6,21.7,16.16,4.97,1.5,4.4,0.7,3.8,0.6
Convergent margin,Basalt,48.431,0.647,19.401,12.859,5.542,0.173,0.144,1.554,0.033,38.1,354,21,40,17.7,1.74,178,13.1,18.9,0.78,2.61,2.882,1.14,0.481,1.4,0.22,0.63,0.064
Intraplate,Dacite,65.14,0.39,17.45,4.11,1.41,0.06,1.72,5.48,0.14,NA,50,21,12,21,25.8,1270,8.1,132.7,18.48,38.28,14.81,2.33,0.799,0.723,0.108,3.666,2.26
Archean craton,Basalt,51.6,1.3,14.2,7.8,6.6,0.2,0.2,2.8,0.13,43,327,21,64,52,4.7,238,42,138,7.8,21.3,15.3,4.9,1.5,4.5,0.7,3.6,0.6
Archean craton,Rhyolite,80.8,0.105,10.4,0.16,0.11,0.03,1.91,5.18,0.02,0.79,0,21,2,1,34,39,66,222,36,81,46.64,11.46,1.66,6.2,0.9,7.5,6.4
Archean craton,Andesite,55.5,1.7,13.15,6.17,3.57,0.26,0.51,2.37,0.2,41,455,21,52,11,10,126,59,181,15.8,37.5,26.7,6.9,1.7,6.2,1,4.8,1.8
Intraplate,Dacite,64.07,0.52,15.8,3.49,1.64,0.04,3.16,3.98,0.19,4.84,61.5,21.1,3,12.5,113.59,736.2,7.7,144,26.7,55,19.8,3.04,1.02,0.59,0.086,3.93,18.7
Convergent margin,Dacite,64.7,0.514,15.9,3.86,1.64,0.074,3.01,3.87,0.183,5.5,125,22,6.5,6,128,315,17,124,21,46,19,3.9,0.95,1.8,0.27,NA,9.5
Convergent margin,Rhyolite,72.82,0.15,12.88,1.31,0.19,0.09,2.45,4.85,0.01,6.5,2,22,1,4,60.9,72,42.8,192,21.9,47.52,22.13,5.16,0.92,4.48,0.72,4.84,6.16
Intraplate,Rhyolite,70.915,0.169,14.956,0.829,0.346,0.086,3.522,5.264,0.07,2.049211646,7.353291847,22.45186644,23.19073359,40.79035041,70,231,21,231,55.64489858,92.29113788,39.36287025,5.559120278,1.128380999,1.982993101,0.28909836,5.417955877,4.885545303
Cont flood Basalt,Rhyolite,70.38,0.66,12.33,1.38,0.37,0.19,5.38,2.49,0.19,15.6,0,23,5.53,11,216,86,57,319,51,109,40,10,1.8,6,1.1,8.3,17.8
Convergent margin,Dacite,63.68,0.61,17.56,4.85,2.19,0.08,1.34,4.31,0.09,7.9,87,23,12.3,19.7,24.7,571,8.4,92.3,12.8,26.8,12.6,2.52,0.82,0.7,0.1,2.32,1.88
Convergent margin,Dacite,63.72,0.57,17.2,4.88,2.21,0.09,1.27,4.49,0.18,9.5,72,23,39.8,18,23.5,581,8.4,125,13.9,32,15.5,2.92,0.93,0.86,0.13,2.79,1.64
Convergent margin,Rhyolite,57.76,0.52,18.65,5.22,1.94,0.13,4.25,3.57,0.4,9,108,23,17,10,131,1116,29.9,56,47,90,40,7.8,1.51,2.21,0.34,3.1,15.7
Convergent margin,Andesite,54.89,1.18,17.88,8.19,3.7,0.19,0.61,3.79,0.16,36.2,239,23,28,14,17.7,199,35.1,92,8.14,19.13,13.2,4.19,1.45,3.5,0.57,2.71,2.54
Intraplate,Dacite,68.53,0.26,16.28,2.74,1.14,0.08,2.23,5.1,0.09,5,57,23,NA,7,27,659,8,97,10.33,18.24,7.97,1.63,0.57,0.85,0.14,2.44,1.76
Backarc basin,Basalt,52.61,0.65,15.6,9.3,5.12,0.14,0.43,2.99,0.14,35.93,363,23,33.76,22,4.91,448,13.41,31.41,2.87,6.91,5.28,1.56,0.59,1.36,0.21,0.9,0.27
Archean craton,Dacite,70,0.43,14.7,2.04,1.26,0.14,2.65,1.14,0.1,7.77,46,23,11,35,70,60,30,190,28.1,48,19,3.67,0.74,1.95,0.34,6.6,6.5
Cont flood Basalt,Rhyolite,71.14,0.73,12.6,1.88,0.9,0.01,5.17,2.53,0.2,16.1,46,23,5.38,0,209,94,53,309,50.1,103,50.8,9.97,1.84,4.1,0.64,8.5,17.48
Convergent margin,Dacite,49.13,0.73,17.67,8.11,4.49,0.16,0.63,4.84,0.15,26.4,218.8,23.2,34.5,24.6,10.7,399,19.3,54.3,5.5,12.12,8.71,2.48,0.99,1.81,0.28,1.76,0.62
Convergent margin,Andesite,57.34,0.94,18.05,7.93,3.59,0.16,0.91,3.36,0.25,21.1,166,23.3,39.3,25.3,11,343,34.9,110,10.2,25.3,19.3,5.3,1.62,3.25,0.496,2.92,0.789
Convergent margin,Andesite,55.62,0.81,17.84,7.28,3.81,0.15,3.5,2.89,0.43,21.1,194,23.6,23,24.3,127.7,690,41.3,228,54.2,101.4,51.6,9.66,2.35,3.13,0.52,5.19,19.64
Rift,Rhyolite,73.16,0.28,13.7,0.35,0.68,0.02,4.15,4.67,0.04,3.23,8,24,NA,5,124,55,68,414,43.7,89.1,37.2,8.5,0.63,6.86,1.02,10.89,29
Convergent margin,Andesite,54.83,1.04,14.79,8.57,3.72,0.24,0.41,2.5,0.11,35,365.8,24,27.3,16.6,NA,161.8,21.2,34.4,2.71,7.66,6.95,2.5,0.98,2.76,0.38,1.46,0.22
Convergent margin,Basalt,49.482,0.846,19.481,11.734,4.17,0.178,0.136,2.026,0.064,35.3,409,24,36,13.5,1.75,188,16.3,29.7,1.32,4.38,4.39,1.64,0.698,1.94,0.32,1.04,0.094
Archean craton,Rhyolite,80,0.2,12.9,0.2,0.4,0,3.6,1.5,0.1,5,20,24,3,8,81,47,19,71,12.5,28.1,13.9,3.69,0.72,1.94,0.31,2.9,5.4
Archean craton,Basalt,53.1,1.2,13.8,7.7,6.3,0.24,0.1,2.2,0.13,50,356,24,56,47,2.1,184,40,120,7.9,21.3,15.8,4.73,1.39,4.29,0.63,3.42,0.723
Convergent margin,Dacite,63.89,0.595,16.83,3.9,1.42,0.079,3.21,4.5,0.277,12.8,109,24,38,14,149,220,33,280,50,102,47,10.3,1.66,2.7,0.35,5.9,15
Convergent margin,Dacite,63.45,0.51,17.31,5.56,2.34,0.08,0.99,4.56,0.32,12.1,84,24,NA,10,15.8,524,8.9,93,6.5,13.8,8.3,2,0.6,0.8,0.1,1.8,0.8
Convergent margin,Andesite,50.21,1.18,18.68,9.67,4.25,0.15,0.67,2.63,0.1,38,363,24,32,7,14.5,229,26.8,79,5.96,14.96,10.13,3.05,1.06,2.61,0.4,2.07,1.36
Convergent margin,Dacite,65.1,0.633,15.3,3.47,1.72,0.065,3.69,4.05,0.21,18.51106565,173.3705781,24,19.49359418,15.27984136,41.11272795,948.548998,18.0623502,144.7379793,23.4993157,46.95799844,23.82407276,4.503802469,1.311894781,1.866584779,0.297339062,4.149506164,2.808563626
Convergent margin,Andesite,52.44,1.86,18.25,8.96,3.77,0.17,0.87,2.82,0.28,36.5,323,24,31,10,31.7,189,52.7,176,14.63,35,22.18,6.31,1.79,5.07,0.78,4.56,3.13
Convergent margin,Dacite,62.82,0.58,17.88,4.15,1.77,0.08,2.62,4.56,0.08,16,75,24,10,11,90.8,408,16,190,18.7,38.9,15.3,2.96,0.96,1.6,0.27,5.1,10.5
Rift,Dacite,68.09,0.52,15.39,3.43,1.7,0.06,3.4,3.93,0.2,8.1,49,25,NA,22,68.8,467,15.2,147,37.5,60.3,20.86,4.09,1.1,1.38,0.23,4.2,10.3
Rift,Dacite,67.89,0.51,15.5,3.59,1.76,0.07,3.21,4.1,0.2,8.2,54,25,NA,20,66.4,489,16,147,39.3,60.2,22.45,4.31,1.16,1.46,0.24,4.1,10.1
Convergent margin,Andesite,54.56,0.57,17.88,10.92,3.7,0.16,0.47,1.84,0.1,37,323,25,29,22,5.5,240,18,28,1.56,4.03,3.97,1.36,0.55,1.66,0.27,0.84,0.127
Convergent margin,Dacite,63.75,0.59,17.22,5.03,2.33,0.09,1.26,4.43,0.18,5.2,76,25,34.1,21,23.3,585,8.5,125,10.1,26.3,12.9,2.45,0.8,0.71,0.11,2.61,1.26
Archean craton,Dacite,63.17,1.73,11.2,5.59,2.63,0.38,0.91,3.07,0.24,34,87,25,13,5,31,75,52.4,165.4,9.05,26.87,20.13,6.79,1.69,6.38,0.94,5.24,0.68
Convergent margin,Dacite,65.2,0.627,16,3.6,1.6,0.058,3.15,4.37,0.199,14.78032787,152.9896907,25,18.57729138,16.71784374,109.6416697,450.2220312,17.83703704,179.4074074,20.74074074,44.2159008,21.86217009,4.39623474,1.042004422,1.845925926,0.280838323,4.787356322,17.11222302
Convergent margin,Dacite,78.97742187,0.264524277,10.15064391,0.460118543,0.660408803,0.0209,0.0768,5.471673637,0.113724951,8.8,13.31380964,25.46619296,3.774785223,9.996745913,1.807928249,37.56748081,30.68197097,132.3636374,4.678482367,12.33854868,10.81102517,3.443860975,0.947023287,3.173819048,0.500127949,3.461578708,0.505508418
Archean craton,Basalt,51.87,0.93,15.27,8.24,5.47,0.16,1.85,3.22,0.123,23.2,209,26,63,133,66,247,21.6,96,12,25.6,17.05,3.88,1.27,1.69,0.3,2.57,1.86
Convergent margin,Rhyolite,69.8,0.21,14.6,0.76,0.15,0.01,5.43,2.5,0.37,2.5,10,26,1.6,0,421,125,6,91,16.9,29.5,11.1,4.9,0.91,0.52,0.09,2.4,6.6
Rift,Dacite,70.46,0.55,13.03,2.56,0.75,0.03,3.59,2.95,0.69,NA,39,26,3.7,9,152.06,106.62,41.3,211.1,41.96,89.38,35.646,8.809,1.93,2.78,0.4,4.73,12.66
Archean craton,Dacite,66.3,0.59,17.7,1.41,0.92,0.02,1.71,5.4,0.23,5,31,26,15,0,40,240,9,205,24,52,24,4,1.1,0.67,0.09,4.7,2.2
Cont flood Basalt,Andesite,52.2,3,13.4,8.5,4.8,0.2,0.86,2.8,0.31,28,389,26,40,38,24,293,41,202,17.3,44.3,28.5,6.6,2.46,2.71,0.35,3,1.96
Cont flood Basalt,Basalt,61.4,1.62,13,8,2.76,0.11,0.75,2.43,0.23,20,239,26,26.6,22,19.4,571.3,34,225.6,32.1,69.5,35.9,7.4,2,3.3,0.5,6,5.8
Convergent margin,Dacite,63.74,0.34,17.87,5.04,2.31,0.07,1.24,4.99,0.07,8.7,92,26,11,18,14.9,307,8.1,75,5.25,11.79,6.38,1.49,0.46,0.86,0.13,2.1,1.33
Intraplate,Rhyolite,72.27,0.31,14.73,2.31,0.62,0.03,3.53,4.09,0.11,4.7,32,26,6.8,5,102,411,6,141,21.8,40.4,15.5,2.86,0.647,0.44,0.06,3.8,8.01
Convergent margin,Andesite,50.8,1.03,16.9,10.8,5.18,0.16,0.61,3.02,0.1,34,258,26,32.2,26,7.6,291,23,63,5.8,13,10,2.8,1.05,2.1,NA,1.8,0.52
Intraplate,Dacite,65.1,0.7,16.49,4.82,2.17,0.08,2.35,4.21,0.26,11,85,26,15,28,59,454,14,168,33.1,58,19.5,3.41,1.1,1.04,0.16,3.3,8.35
Intraplate,Dacite,60.8,0.85,15.9,1.34,3.77,0.08,1.61,6.38,0.19,14.9,100,26.3,NA,20,45.5,122,24.1,216,24.1,44.9,24.1,4.95,1.22,2.07,0.29,6.25,8.17
Convergent margin,Andesite,53.62,0.64,19.87,9.35,4.02,0.15,0.54,2.92,0.21,21.045,158.93,26.456,21.632,33.769,8.929,746.956,16.003,49.909,11.379,24.437,13.019,3.048,1.024,1.517,0.237,1.358,0.889
Convergent margin,Andesite,61.26,0.53,13.7,5.41,4.69,0.13,2.46,2.29,0.12,17.7,172,27,22,122,57.8,205,24,136,12.2,28.3,11.9,3.62,0.58,2.85,0.42,4.4,4.9
Convergent margin,Dacite,64.5,0.678,16.1,3.67,1.47,0.059,3.19,4.71,0.275,NA,18,27,3,84,138,505,9,123,40,67,19,2.7,0.58,1,0.17,3.84,22.8
Intraplate,Dacite,68.73,0.31,16.07,2.28,0.8,0.03,2.1,4.36,0.1,5,26,27.4,3.8,3.7,58.7,644,5.6,85.7,19.1,36.7,12.4,2.08,0.52,0.56,0.08,2.7,6.5
Archean craton,Andesite,53.31,0.85,15.6,4.95,6.19,0.16,0.13,4.44,0.19,22.7,214,27.6,40.9,47.6,2.11,76,16,133,23.3,48.1,21.8,4.14,1.09,1.62,0.196,2.85,6.08
Backarc basin,Basalt,53.09,1.72,15.21,9.49,5.04,0.19,0.21,3.55,0.31,35.4,NA,27.9,31.8,26.8,2.67,143,32.2,121,4.17,12.3,11.2,3.75,1.34,3.5,0.528,3.13,0.219
Convergent margin,Andesite,58.16,1.29,16.03,7.1,3.48,0.19,1.08,3.89,0.38,24,171,28,19,10,25.5,284,37.9,143,14.78,34.18,20.63,5.26,1.73,3.61,0.56,3.43,2.6
Convergent margin,Dacite,63.65,0.559,16.05,3.875,1.68,0.0585,2.76,4.345,0.187,9.155339029,132.4001527,28,15.76172664,20.80279847,108.2586161,1229.351294,16.43903363,416.9589644,74.45825094,151.556568,65.12550998,10.04379747,2.490967888,1.368944644,0.208370734,10.37265158,8.051728519
Convergent margin,Dacite,62.35,0.79,16.61,5.71,2.87,0.09,2.09,4.17,0.23,13,108,28,NA,19,57,511,15,149,29.6,59.7,20,4,1.1,1.32,0.22,4.1,10.4
Convergent margin,Andesite,60.66,0.64,17.53,5.9,2.83,0.12,1.37,4.59,0.23,15.9,65,28,15.53,8,24.3,580,18.1,119,13,26.6,14.2,3.39,1.08,1.74,0.28,3.55,2
Convergent margin,Andesite,56.53,0.89,17.51,7.58,4.12,0.14,0.92,3.6,0.16,24,233,28,25,16,23.6,456,24.6,107,16.2,32,19.2,3.9,1.13,2.2,0.32,2.8,4.6
Convergent margin,Dacite,63.76,0.62,16.54,4.18,1.69,0.05,1.9,4.35,0.17,NA,62,28,7.98,10,39.6,547,13.47,159,16.62,35.25,18.92,3.91,1.23,1.19,0.17,4.27,4.02
Intraplate,Dacite,63.95,2.55,14.87,3.96,1.78,0.05,2.5,2.4,0.8,11,72.4,28.5,36.5,15.4,167,567,38,534,133,248,97,13.9,2.52,3.5,0.531,13.2,37.1
Intraplate,Rhyolite,75.37,0.14,12.85,0.05,0.04,0.06,5.35,2.23,0.01,1.42,1.37,28.9,0.14,4.87,186,9.8,57.2,386,45.3,98.7,44.6,9.09,0.71,5.3,0.72,11.1,15.1
Convergent margin,Dacite,65.2,0.68,15.8,3.43,1.4,0.058,3.16,4.4,0.235,7,87,29,14,16,161.982,659.88,14.911,223.213,46.985,85.2,33.392,5.425,1.625,1.378,0.224,5.411,17.174
Intraplate,Dacite,68.82,0.55,14.7,1.82,0.69,0.11,1.94,5.11,0.22,14,50,29,4.1,2.5,9.7,240,44,356,19.9,37,38.6,8.92,1.8,5.2,0.84,8,2.6
Convergent margin,Andesite,59.95,0.7,18.56,4.64,2.01,0.07,1.28,4.28,0.18,NA,83,29,9.25,6,19.68,597,15.72,150,13.62,31.18,15.82,3.61,1.18,1.59,0.26,4.17,4.29
Intraplate,Rhyolite,82.47,0.13,7.09,1.5,0.23,0.04,4.42,0.55,0.01,1.6,19,29,NA,12,149,485,9,83,24.8,43,12,1.68,0.38,0.87,0.15,2.2,16
Intraplate,Dacite,66.3,0.61,15.77,4.04,1.89,0.06,2.85,3.88,0.19,9,75,29,9,18,83,318,16,156,33.9,50.8,20.8,3.78,0.99,1.36,0.25,3.3,11.47
Convergent margin,Rhyolite,72.8,0.117,12.9,0.47,0.11,0.052,5.4,2.53,0.019,10.9,93,29.3,13.6,6,100,620,21,186,35.5,73.7,27.5,5.2,1.22,1.46,0.211,5.38,11.21
Intraplate,Dacite,71.04,0.21,15.87,0.95,0.99,0.03,2.55,3.6,0.04,4.83,19.2,29.4,3.7,2.4,88.9,234,5.37,71.1,9.92,20.1,7.49,1.46,0.586,0.39,0.062,2.35,5.41
Intraplate,Rhyolite,70.41115264,0.353571068,15.57733104,3.252853824,1.010203051,0.0505,3.717547227,3.050813213,0.111122336,4.923235862,51.36962183,29.81261625,23.17322481,9.346624246,151.1253002,200.8841027,4.097025119,147.0917076,23.79298414,50.79288246,21.42299688,4.018206697,0.854323726,0.323970516,0.0468,4.403026239,10.68751338
Convergent margin,Rhyolite,59.24,0.45,15.9,4.21,2.1,0.11,5.77,4.06,0.19,13,94,30,18,12,187,616,20,320,65,107,40,6.9,1.23,2.5,0.28,5,30
Backarc basin,Basalt,55.29,1.97,15.28,8.1,4.16,0.18,0.74,3.39,0.28,31,311,30,29.6,28,13.22,220,36.6,131.7,9.12,22.95,15.06,4.48,1.51,3.48,0.54,3.31,1.09
Convergent margin,Dacite,63.3,0.58,16.52,4.19,1.83,0.06,1.89,3.96,0.16,NA,70,31,8.19,13,39.44,553,14.83,123,12.9,28.61,15.27,3.36,1.01,1.4,0.22,3.58,3.46
Convergent margin,Basalt,49,0.56,19.43,12.41,5.89,0.18,0.1,1.5,0.04,40.3,234,31,45,9,1.75,153,12,32,1.1,3.09,3.18,1.16,0.51,1.4,0.19,0.63,0.15
Convergent margin,Dacite,64.68,0.52,16.97,4.5,2.04,0.08,1.36,4.58,0.17,6.7,52,31,10.4,16,26.4,566,7.2,125,12.5,26.1,13,2.19,0.77,0.63,0.1,2.18,2.14
Rift,Dacite,68.57,0.45,15.59,3.51,1.51,0.06,3.65,3.62,0.17,7.4,40,31,NA,30,64.4,430,15.8,159,34.3,59.6,22.73,4.47,1.12,1.31,0.21,4.4,4.8
Convergent margin,Andesite,61.2,0.17,12.5,6.9,4.46,0.02,1.7,2.9,0.14,27,180,31,20,7.3,49.6,239,19,110,18,28,12.4,3.5,0.88,2.1,NA,2,5.8
Intraplate,Rhyolite,72.8,0.36,12.99,0.32,0.54,0.02,6.82,1.65,0.06,6.69,25.9,31.6,3.26,10.5,138,63.1,32,187,24,53.5,24.8,5.23,0.863,3.44,0.542,5.77,9.62
Archean craton,Basalt,52,1,14.3,9,6.8,0.2,0.2,3,0.09,45,306,32,63,58,2.4,270,30,94,5.6,14.8,11.4,3.2,1.1,3.1,0.5,2.7,0.5
Backarc basin,Basalt,53.81,1.82,14.8,8.96,4.89,0.2,0.72,2.81,0.26,28.6,307,32,27.1,23,9.38,230,34.8,126.4,9.78,25.95,14.77,4.21,1.61,3.37,0.53,3.09,1.12
Archean craton,Rhyolite,77.09,0.23,14.86,1.2,0.69,0.11,3.08,1.35,0.05,3.82,14.6,32,4.76,15.3,61,311,8.76,104,32,66.5,24.13,3.72,0.714,0.57,0.09,3.14,8.85
Archean craton,Basalt,52,1,14.3,9,6.8,0.2,0.2,3,0.09,45,306,32,63,58,2.4,270,30,94,5.6,14.8,11.4,3.2,1.1,3.1,0.5,2.7,0.5
Archean craton,Rhyolite,70.65,0.26,17.19,2.06,1.23,0.01,1.69,5.04,0.18,5.3,81,32,17,16,38,537,3,92,28.1,59.6,21.7,3.4,1.14,0.47,0.06,2.8,4
Intraplate,Dacite,58.09533526,0.852560561,16.43401393,7.483138191,4.597160084,0.149501141,2.058671117,2.767791393,0.378803567,24.36666667,239.6666667,32.63333333,15.46666667,16.8,24.56666667,915.6666667,24.4,92.83333333,20.56666667,46.03333333,25.3,5.446666667,1.776666667,2.26,0.356,2.053333333,3.046666667
Convergent margin,Dacite,63.58,0.59,15.94,5.18,2.52,0.1,3.06,3.41,0.11,15.9,111,33,8.7,12,71,458,24,158,19.6,35,24.15,5.11,1.04,2.55,0.38,4.68,11.6
Convergent margin,Rhyolite,70.66,0.18,13.74,2.32,0.84,0.08,3.2,2.28,0,11.8,31,33,5.6,9,32.1,96,10.7,75.8,3.6,8.28,5.9,1.39,0.41,1.27,0.19,2.1,0.67
Intraplate,Dacite,66.17,0.31,14.64,3.3,0.99,0.11,3.62,3.94,0.07,8.62,48.58,33.39,7.48,8.22,112,238,31.57,247,54.66,101.87,46.73,8.02,1.51,3.54,0.54,7.07,21.47
Convergent margin,Andesite,52.43,0.6,20.17,9.12,4.8,0.17,0.48,2.58,0.15,22.332,160.26,33.42,23.573,21.275,8.338,594.537,14.208,39.622,7.686,17.261,10.533,2.657,0.965,1.471,0.23,1.228,0.648
Convergent margin,Rhyolite,70.53,0.263,15.49,2.29,0.75,0.076,2.58,4.21,0.101,4,26,34,NA,8,65.6,346,10.03,129,21,37.68,14.68,2.75,0.69,0.92,0.15,3.61,7.38
Rift,Dacite,68.59,0.45,15.49,3.23,1.52,0.06,3.21,3.97,0.16,7.7,64,34,NA,25,60.6,399,15.6,169,35.4,61.9,23.31,4.48,1.19,1.24,0.2,4.6,5.1
Convergent margin,Andesite,54.06,0.67,18.55,8.82,4.67,0.17,0.61,3.02,0.17,27.517,186.028,34.254,26.6,22.094,8.952,514.453,16.848,49.107,9.471,20.606,11.881,2.956,0.964,1.628,0.253,1.392,1.021
Intraplate,Rhyolite,68.58,0.44,14.5,2.04,1.3,0.04,3.51,3.52,0.1,8.07,58.67,34.88,9.4,6.65,147,329,16.24,203,28.64,54.03,22.47,3.99,1.13,1.68,0.27,5.52,15.85
Archean craton,Rhyolite,83.37,0.19,8.44,0.5,0.12,0.05,0.66,3.55,0.03,2.1,1.95,34.97,0.43,6.02,18.67,43.5,59.18,301.3,20.09,48.65,31.54,8.26,2.417,6.11,0.928,7.8,2.07
Archean craton,Rhyolite,64.4,0.46,16.8,3.83,2.44,0.06,1.8,4.39,0.14,8,NA,35,11,25,27,509,9,108,13.08,26.43,12,1.99,0.71,0.55,0.1,2.58,1.87
Convergent margin,Andesite,57.76,0.76,17.74,7.98,3.86,0.14,0.83,3.2,0.13,26.3,168,35,19,11,18,199,25,89,6.58,16.09,11.22,3.03,0.97,3,0.45,2.5,1.43
Convergent margin,Dacite,63.37,0.55,16.69,5.37,2.77,0.08,1.06,4.57,0.15,14,120,35,NA,16,16.1,451,10.4,78,7.68,15.5,9.45,2.47,0.75,0.84,0.14,2.35,0.96
Archean craton,Basalt,53.49,1.44,14.48,10.54,2.87,0.35,0.43,4.24,0.11,38,315,35,50,40,17,117,20,96,6.4,16,11,3.6,1.3,2.3,0.38,2.2,0.62
Convergent margin,Andesite,54.72,0.81,16.03,9.47,3.89,0.19,0.45,2.97,0.11,35.8,251,35,30,16,11,142,23,66,3.26,9.38,7.65,2.35,0.83,2.5,0.38,1.75,0.67
