tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Intraplate,Rhyolite,69.8,0.46,15.4,1.32,0.37,0.05,5.09,4.18,0.11,4.2,39.9,1.6,3.6,4.2,193,309.2,28.2,398.7,94.6,173.69,66.9,9.75,1.74,2.63,0.42,8.5,46.29
Convergent margin,Dacite,65.56,0.86,15.26,0.96,1.24,0.05,5.68,2.77,0.55,21.8,99.3,1.64,9.46,1.54,198,126,44.6,448.1,44.06,98.37,55.84,11.23,1.85,4.47,0.68,11.68,16.39
Intraplate,Rhyolite,75.18,0.48,11.81,0.7,0.26,0.05,5.48,0.52,0.06,5.65,9.68,1.89,3.04,3.13,160.5,80.51,57.4,471.2,96.63,186.8,80.84,14.21,1.86,6.13,0.9,13.66,14.52
Convergent margin,Rhyolite,77.61,0.2,10.79,0.31,0.26,0.05,6.05,2.47,0.03,3,6,2,1,1,169,26,54,99,37,57,37,8,1,5,1,3,2
Convergent margin,Rhyolite,74.33,0.259,13.9,2.15,0.39,0.062,2.71,4.01,0.05,11,6,2,6,6,96.6,150,22.2,154,19.9,41.9,17.6,3.59,0.75,2.47,0.38,4.27,8
Convergent margin,Dacite,62.81,1.08,15.59,3.95,1.69,0.16,1.9,5.31,0.35,19,68,2,8,5,46,367,43,213,23,53,30,7,1.93,3.8,0.59,5.2,5
Convergent margin,Rhyolite,71.06,0.36,14.8,2.11,0.42,0.07,2.38,5.19,0.07,9.5,7,2,2,1,70.3,125,47,296,22.71,50.38,25.17,6,1.4,4.82,0.75,6.73,5.96
Backarc basin,Basalt,53.41,1.55,14.6,8.3,3.84,0.19,0.35,3.08,0.18,33.4,379,2,34,12,6.43,160,33.4,64.8,3.93,10.76,9.4,3.27,1.22,3.3,0.51,1.95,0.355
Rift,Rhyolite,76.58,0.19,9.77,0.86,0.7,0.02,0.66,4.31,0.02,7,6,2,14,10,20,37,52,293,22.81,47.24,22.04,5.2,1.22,6.18,0.91,9.17,13.53
Convergent margin,Dacite,71.6,0.6,12.9,3.5,0.7,0.16,1.5,2.3,0.16,21,NA,2,9,5,20,174,40,125,8.04,19.58,15.43,4.82,1.17,4.55,0.69,3.76,0.9
Convergent margin,Rhyolite,70.67,0.18,13.68,1.06,0.22,0.06,4.01,3.58,0.55,2.2,6,2,NA,2,126.2,213,10.2,145,27.4,49,15.2,2.4,0.5,0.8,0.2,3.3,14.9
Convergent margin,Dacite,63.55,1,15.92,3.99,1.68,0.16,1.73,5.5,0.29,17,57,2,8,2,39,397,37,176,18.5,45,26.3,6.3,1.7,3.3,0.51,4.9,4.9
Archean craton,Dacite,76.28,0.18,11.51,1.6,0.54,0.02,4.49,2.36,0.03,6,4,2,NA,6,98.9,97.1,37.4,287,32.23,70.16,32.72,6.42,0.96,3.44,0.53,7,6.8
Convergent margin,Rhyolite,72.4,0.31,13.4,2.75,0.81,0.07,1.64,4.05,0.03,12,40,2,5,2,26,199,17,86,4.09,9.94,6.48,1.73,0.45,1.91,0.32,2.38,0.66
